avId,avName,depth,path,classification,basis,decidedAtNode,rationale,mappedReferences
AV-509,Abuse Dependency Resolution Mechanism,4,AV-000 > AV-001 > AV-500 > AV-502 > AV-509,detectable,artifact-mismatch,AV-502,"Interception, DNS poisoning, URL tampering and resolution abuse all deliver an artifact that differs from the anchored tree. Detection requires the consumer to verify against the intended project identifier.",8
AV-503,Prevent Update to Non-Vulnerable Version,3,AV-000 > AV-001 > AV-500 > AV-503,partial,detectable-by-presence,AV-503,"Blocking an update leaves the consumer on a genuine older release, so there is no hash mismatch. The anchor history is public and append-only, so a newer anchored release is visible on chain even when the registry hides it. Detection requires an active check rather than a passive one.",5
AV-504,Distribute as Package Maintainer,3,AV-000 > AV-001 > AV-500 > AV-504,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",2
AV-601,Bribe or Blackmail Legitimate User,4,AV-000 > AV-001 > AV-500 > AV-504 > AV-601,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",1
AV-602,Take-over Legitimate Account,4,AV-000 > AV-001 > AV-500 > AV-504 > AV-602,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",10
AV-603,Reuse of Compromised Credentials,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-603,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",20
AV-604,Bruteforce,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-604,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",4
AV-605,Reuse of Leaked API Tokens,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-605,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",5
AV-606,Social Engineering to Obtain Credentials,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-606,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",1
AV-607,Reuse of Existing Session,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-607,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",3
AV-608,Resurrect Expired Domain Associated With Legitimate Account,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-608,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",3
AV-800,Become a Maintainer,4,AV-000 > AV-001 > AV-500 > AV-504 > AV-800,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",9
AV-801,Change Ethos,4,AV-000 > AV-001 > AV-500 > AV-504 > AV-801,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",3
AV-700,Compromise Maintainer System,4,AV-000 > AV-001 > AV-500 > AV-504 > AV-700,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",7
AV-701,Exploit Weak Configuration,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-700 > AV-701,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",4
AV-702,Exploit Vulnerabilities,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-700 > AV-702,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",27
AV-703,Infect through Malicious Component,5,AV-000 > AV-001 > AV-500 > AV-504 > AV-700 > AV-703,detectable,artifact-mismatch,AV-504,"Publishing a malicious version with registry credentials produces an artifact that does not match the anchored tree, unless the same attacker also holds the anchoring key, which is the named blind spot.",10
AV-505,Inject into Hosting System,3,AV-000 > AV-001 > AV-500 > AV-505,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",4
AV-600,Compromise User (Project Maintainer/Administrator),4,AV-000 > AV-001 > AV-500 > AV-505 > AV-600,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",0
AV-601,Bribe or Blackmail Legitimate User,5,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-601,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",1
AV-602,Take-over Legitimate Account,5,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",10
AV-603,Reuse of Compromised Credentials,6,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-603,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",20
AV-604,Bruteforce,6,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-604,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",4
AV-605,Reuse of Leaked API Tokens,6,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-605,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",5
AV-606,Social Engineering to Obtain Credentials,6,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-606,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",1
AV-607,Reuse of Existing Session,6,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-607,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",3
AV-608,Resurrect Expired Domain Associated With Legitimate Account,6,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-608,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",3
AV-700,Compromise Hosting System,4,AV-000 > AV-001 > AV-500 > AV-505 > AV-700,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",7
AV-701,Exploit Weak Configuration,5,AV-000 > AV-001 > AV-500 > AV-505 > AV-700 > AV-701,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",4
AV-702,Exploit Vulnerabilities,5,AV-000 > AV-001 > AV-500 > AV-505 > AV-700 > AV-702,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",27
AV-703,Infect through Malicious Component,5,AV-000 > AV-001 > AV-500 > AV-505 > AV-700 > AV-703,detectable,artifact-mismatch,AV-505,"Swapping the artifact in the hosting system leaves the on-chain anchor untouched, so the substituted artifact fails comparison.",10
